,heat_Demand_MT,heat_Demand_HT,heat_Waste_Heat_MT,heat_Waste_Heat_HT
2021-01-01 00:15:00,1921.497,421.3,2753.989311,594.4579097
2021-01-01 00:30:00,1983.609106,395.7,2922.198697,585.2461743
2021-01-01 00:45:00,2246.704274,391.5,3139.862956,518.3668392
2021-01-01 01:00:00,2422.106409,357.3,3218.322719,497.8519476
2021-01-01 01:15:00,2471.379082,356.5,3214.336125,442.8292472
2021-01-01 01:30:00,2425.86187,426.8,3385.346533,518.9887236
2021-01-01 01:45:00,2475.547086,555.1,3226.737381,566.973449
2021-01-01 02:00:00,2501.897713,410.5,2918.282233,560.7888434
2021-01-01 02:15:00,2499.041085,348.6,2712.4456,595.6325104
2021-01-01 02:30:00,2451.651671,368.3,2681.898475,596.075166
2021-01-01 02:45:00,2419.341166,369.9,2762.744297,532.113716
2021-01-01 03:00:00,2438.595291,332.9,2775.954261,513.8918326
2021-01-01 03:15:00,2397.611753,374.5,2768.871883,553.2701545
2021-01-01 03:30:00,2453.34243,398.9,2836.932194,557.3807201
2021-01-01 03:45:00,2580.472449,419.5,2864.486478,365.9278167
2021-01-01 04:00:00,2664.679154,294.9,2894.994042,543.7954208
2021-01-01 04:15:00,2599.027482,353.9,2869.59335,754.393825
2021-01-01 04:30:00,2533.690925,461.1,2855.288453,580.5038247
2021-01-01 04:45:00,2640.439683,427.9,2839.156253,726.5609639
2021-01-01 05:00:00,2636.713651,504.2,2798.076656,454.030483
2021-01-01 05:15:00,2666.981704,340.8,2717.600911,417.0312181
2021-01-01 05:30:00,2792.563463,321.7,2794.199722,471.2940958
2021-01-01 05:45:00,2771.380582,353.0,2823.238121,580.7685413
2021-01-01 06:00:00,3001.337566,366.2,2851.466036,761.624917
2021-01-01 06:15:00,2919.165909,548.4,2844.456306,729.9179257
2021-01-01 06:30:00,2905.346604,567.8,2884.027492,573.7027101
2021-01-01 06:45:00,2895.358155,411.6,2892.217161,620.7089333
2021-01-01 07:00:00,2805.725323,481.9,2853.074431,469.5116108
2021-01-01 07:15:00,2770.644876,365.7,2852.889864,606.3850007
2021-01-01 07:30:00,2784.64088,440.1,2864.911631,780.9072951
2021-01-01 07:45:00,2747.600529,511.5,2942.994969,517.4668198
2021-01-01 08:00:00,2861.2745,403.5,2957.353206,429.1662865
2021-01-01 08:15:00,2852.04135,370.2,2896.1576,589.4487215
2021-01-01 08:30:00,2894.384724,432.8,2991.925032,660.2847806
2021-01-01 08:45:00,2821.419911,445.2,2986.464851,466.4060288
2021-01-01 09:00:00,2807.866677,312.1,3040.895497,639.7607792
2021-01-01 09:15:00,2773.755223,451.2,3090.245761,352.4641349
2021-01-01 09:30:00,2698.518374,339.0,3101.818794,383.8038292
2021-01-01 09:45:00,2652.672234,338.0,3182.882489,398.2096417
2021-01-01 10:00:00,2707.470734,295.6,3219.361567,405.9265976
2021-01-01 10:15:00,2689.177361,281.9,3229.0,617.9630024
2021-01-01 10:30:00,2589.919144,387.3,3335.493875,682.8175651
2021-01-01 10:45:00,2530.921301,419.6,3272.200194,503.3745283
2021-01-01 11:00:00,2570.076521,358.5,3348.804856,367.3728531
2021-01-01 11:15:00,2567.645115,272.7,3244.295578,422.7770955
2021-01-01 11:30:00,2450.348121,284.4,3267.9629,440.902967
2021-01-01 11:45:00,2325.176079,295.2,3266.372469,706.8302226
2021-01-01 12:00:00,2225.86622,430.5,3262.472969,655.600683
2021-01-01 12:15:00,2186.741504,430.0,3255.465533,368.7602253
2021-01-01 12:30:00,2238.224887,277.4,3328.783719,410.9679951
2021-01-01 12:45:00,2194.57303,291.3,3311.811833,403.2159406
2021-01-01 13:00:00,2260.732586,280.7,3317.772294,480.8065517
2021-01-01 13:15:00,2240.859039,313.7,3382.322344,763.2528014
2021-01-01 13:30:00,2285.971516,470.1,3272.20605,445.1458993
2021-01-01 13:45:00,2347.191251,311.7,3240.614822,459.0795465
2021-01-01 14:00:00,2266.822905,320.4,3283.712194,416.3854118
2021-01-01 14:15:00,2279.178861,286.8,3296.769958,404.0643132
2021-01-01 14:30:00,2249.108992,276.7,3283.797267,783.2430681
2021-01-01 14:45:00,2198.96766,482.2,3276.926475,493.4071354
2021-01-01 15:00:00,2204.059759,328.8,3310.379125,482.4668306
2021-01-01 15:15:00,2168.278475,350.4,3349.286411,383.788775
2021-01-01 15:30:00,2297.208981,292.0,3356.535886,377.5936354
2021-01-01 15:45:00,2310.767341,268.4,3465.325536,393.5949927
2021-01-01 16:00:00,2304.783481,283.5,3519.339811,686.9721646
2021-01-01 16:15:00,2339.455081,398.9,3557.520147,624.4456441
2021-01-01 16:30:00,2343.575541,395.4,3564.162706,366.5179566
2021-01-01 16:45:00,2377.678515,283.4,3498.745428,474.2550531
2021-01-01 17:00:00,2263.847671,323.4,3464.4746,383.8618781
2021-01-01 17:15:00,2285.80189,268.4,3542.382264,455.0513531
2021-01-01 17:30:00,2320.297864,298.2,3439.37525,729.1352411
2021-01-01 17:45:00,2262.709638,456.4,3461.157622,520.6214837
2021-01-01 18:00:00,2376.410331,358.7,3435.145556,541.8908132
2021-01-01 18:15:00,2337.4416,377.9,3535.277747,468.1022382
2021-01-01 18:30:00,2257.190663,327.1,3531.662503,388.9055003
2021-01-01 18:45:00,2351.4537,243.4,3477.717192,407.6525069
2021-01-01 19:00:00,2424.999058,219.7,3544.841208,485.1054722
2021-01-01 19:15:00,2369.813368,250.7,3463.593572,829.5728076
2021-01-01 19:30:00,2384.543527,453.0,3427.449747,375.0633585
2021-01-01 19:45:00,2488.295551,214.9,3463.828903,441.3403274
2021-01-01 20:00:00,2445.381044,237.9,3388.088183,570.6369722
2021-01-01 20:15:00,2483.192315,306.3,3377.495242,466.7760979
2021-01-01 20:30:00,2475.126486,255.4,3390.154311,519.1811163
2021-01-01 20:45:00,2424.858807,283.5,3299.414408,605.4213292
2021-01-01 21:00:00,2438.295067,392.1,3280.31779,519.6558771
2021-01-01 21:15:00,2450.629943,353.9,3250.433639,337.8657759
2021-01-01 21:30:00,2489.654119,269.1,3243.583753,436.8656521
2021-01-01 21:45:00,2452.139626,298.8,3229.380944,571.645625
2021-01-01 22:00:00,2422.031165,367.4,3227.487314,439.6600205
2021-01-01 22:15:00,2572.123203,355.0,3165.574758,568.8629729
2021-01-01 22:30:00,2562.21148,374.1,3005.063347,504.9747349
2021-01-01 22:45:00,2568.220619,353.6,2903.338044,330.7870292
2021-01-01 23:00:00,2616.485534,266.7,2889.940075,405.3686385
2021-01-01 23:15:00,2515.704646,300.4,2890.787872,472.0352458
2021-01-01 23:30:00,2448.018399,317.6,2854.744189,444.0402743
2021-01-01 23:45:00,2502.843441,328.4,2763.734678,680.1936514
2021-01-02 00:00:00,2506.410719,437.3,2781.428053,355.4302462
2021-01-02 00:15:00,2266.834535,256.5,2886.589458,386.770951
2021-01-02 00:30:00,2341.044113,249.0,2640.749031,421.0313563
